input,threads,T_seq,T_seq_sd,T_omp,T_omp_sd,S_justo,Efici̻ncia
input_180.txt,1,5.971842,0.092273,5.970615,0.093154,1.000206,1.000206
input_180.txt,2,5.971842,0.092273,3.267481,0.069870,1.827659,0.913829
input_180.txt,4,5.971842,0.092273,1.882410,0.096044,3.172445,0.793111
input_180.txt,8,5.971842,0.092273,2.037786,0.156505,2.930554,0.366319
input_180.txt,16,5.971842,0.092273,1.697780,0.007711,3.517442,0.219840
input_180.txt,32,5.971842,0.092273,1.778498,0.009544,3.357801,0.104931
input_190.txt,1,7.167472,0.114149,7.210104,0.121605,0.994087,0.994087
input_190.txt,2,7.167472,0.114149,3.926095,0.097640,1.825598,0.912799
input_190.txt,4,7.167472,0.114149,2.231777,0.134882,3.211554,0.802889
input_190.txt,8,7.167472,0.114149,2.469021,0.311955,2.902961,0.362870
input_190.txt,16,7.167472,0.114149,2.022211,0.010657,3.544374,0.221523
input_190.txt,32,7.167472,0.114149,2.142470,0.032431,3.345425,0.104545
input_200.txt,1,8.563443,0.168620,8.577337,0.141307,0.998380,0.998380
input_200.txt,2,8.563443,0.168620,4.664766,0.131215,1.835771,0.917886
input_200.txt,4,8.563443,0.168620,2.631232,0.076471,3.254537,0.813634
input_200.txt,8,8.563443,0.168620,2.822001,0.225611,3.034529,0.379316
input_200.txt,16,8.563443,0.168620,2.421923,0.073860,3.535803,0.220988
input_200.txt,32,8.563443,0.168620,2.458844,0.011023,3.482711,0.108835
input_210.txt,1,10.071579,0.154032,10.107876,0.165820,0.996409,0.996409
input_210.txt,2,10.071579,0.154032,5.458131,0.082806,1.845243,0.922621
input_210.txt,4,10.071579,0.154032,3.064976,0.073747,3.286022,0.821505
input_210.txt,8,10.071579,0.154032,3.397357,0.312794,2.964534,0.370567
input_210.txt,16,10.071579,0.154032,2.797382,0.021180,3.600359,0.225022
input_210.txt,32,10.071579,0.154032,2.907291,0.021654,3.464249,0.108258
input_220.txt,1,11.731025,0.146940,11.834395,0.148867,0.991265,0.991265
input_220.txt,2,11.731025,0.146940,6.372002,0.094471,1.841027,0.920513
input_220.txt,4,11.731025,0.146940,3.550785,0.077025,3.303784,0.825946
input_220.txt,8,11.731025,0.146940,3.840695,0.282364,3.054402,0.381800
input_220.txt,16,11.731025,0.146940,3.238713,0.012705,3.622126,0.226383
input_220.txt,32,11.731025,0.146940,3.354778,0.023355,3.496811,0.109275
